Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.18127,5.5165,446.47,501.64,3.1592,0.64897,0.83836,266.88,11.512,1.46E-05,0.016121
19,0.02,0.36274,2.7568,446.41,501.54,3.028,0.64924,0.83909,266.8,11.513,1.46E-05,0.016125
19,0.03,0.5444,1.8369,446.34,501.45,2.9512,0.64951,0.83982,266.72,11.514,1.46E-05,0.01613
19,0.04,0.72626,1.3769,446.27,501.35,2.8966,0.64978,0.84055,266.64,11.514,1.46E-05,0.016134
19,0.05,0.90831,1.1009,446.2,501.25,2.8542,0.65005,0.84129,266.56,11.515,1.46E-05,0.016139
19,0.06,1.0906,0.91697,446.14,501.16,2.8195,0.65032,0.84203,266.48,11.515,1.46E-05,0.016143
19,0.07,1.273,0.78555,446.07,501.06,2.7902,0.65059,0.84277,266.39,11.516,1.46E-05,0.016148
19,0.08,1.4556,0.68699,446,500.96,2.7647,0.65086,0.84351,266.31,11.516,1.46E-05,0.016152
19,0.09,1.6385,0.61033,445.93,500.86,2.7422,0.65113,0.84425,266.23,11.517,1.46E-05,0.016157
19,0.1,1.8215,0.549,445.87,500.77,2.7221,0.6514,0.845,266.15,11.517,1.46E-05,0.016162
19,0.11,2.0047,0.49882,445.8,500.67,2.7038,0.65167,0.84574,266.07,11.518,1.46E-05,0.016166
19,0.12,2.1881,0.45701,445.73,500.57,2.6872,0.65194,0.84649,265.99,11.518,1.46E-05,0.016171
19,0.13,2.3718,0.42163,445.66,500.47,2.6718,0.65221,0.84724,265.91,11.519,1.46E-05,0.016175
19,0.14,2.5556,0.3913,445.59,500.38,2.6576,0.65248,0.848,265.82,11.52,1.46E-05,0.01618
19,0.15,2.7396,0.36502,445.53,500.28,2.6443,0.65275,0.84875,265.74,11.52,1.46E-05,0.016185
19,0.16,2.9238,0.34202,445.46,500.18,2.6319,0.65303,0.84951,265.66,11.521,1.46E-05,0.016189
19,0.17,3.1083,0.32172,445.39,500.08,2.6202,0.6533,0.85027,265.58,11.521,1.46E-05,0.016194
19,0.18,3.2929,0.30369,445.32,499.99,2.6092,0.65357,0.85103,265.5,11.522,1.46E-05,0.016199
19,0.19,3.4777,0.28755,445.25,499.89,2.5987,0.65385,0.85179,265.42,11.522,1.46E-05,0.016203
19,0.2,3.6627,0.27302,445.18,499.79,2.5888,0.65412,0.85256,265.33,11.523,1.46E-05,0.016208
19,0.21,3.848,0.25988,445.12,499.69,2.5793,0.6544,0.85332,265.25,11.523,1.46E-05,0.016213
19,0.22,4.0334,0.24793,445.05,499.59,2.5703,0.65467,0.85409,265.17,11.524,1.47E-05,0.016217
19,0.23,4.2191,0.23702,444.98,499.49,2.5617,0.65495,0.85486,265.09,11.525,1.47E-05,0.016222
19,0.24,4.4049,0.22702,444.91,499.4,2.5534,0.65522,0.85564,265,11.525,1.47E-05,0.016227
19,0.25,4.5909,0.21782,444.84,499.3,2.5455,0.6555,0.85641,264.92,11.526,1.47E-05,0.016232
19,0.26,4.7772,0.20933,444.77,499.2,2.5378,0.65577,0.85719,264.84,11.526,1.47E-05,0.016236
19,0.27,4.9637,0.20146,444.7,499.1,2.5304,0.65605,0.85797,264.76,11.527,1.47E-05,0.016241
19,0.28,5.1503,0.19416,444.63,499,2.5233,0.65633,0.85875,264.68,11.527,1.47E-05,0.016246
19,0.29,5.3372,0.18736,444.57,498.9,2.5165,0.6566,0.85954,264.59,11.528,1.47E-05,0.016251
19,0.3,5.5243,0.18102,444.5,498.8,2.5098,0.65688,0.86032,264.51,11.529,1.47E-05,0.016256
19,0.31,5.7116,0.17508,444.43,498.7,2.5034,0.65716,0.86111,264.43,11.529,1.47E-05,0.016261
19,0.32,5.8991,0.16952,444.36,498.6,2.4972,0.65744,0.8619,264.35,11.53,1.47E-05,0.016266
19,0.33,6.0868,0.16429,444.29,498.5,2.4911,0.65771,0.86269,264.26,11.53,1.47E-05,0.01627
19,0.34,6.2748,0.15937,444.22,498.4,2.4852,0.65799,0.86349,264.18,11.531,1.47E-05,0.016275
19,0.35,6.4629,0.15473,444.15,498.3,2.4795,0.65827,0.86428,264.1,11.531,1.47E-05,0.01628
19,0.36,6.6513,0.15035,444.08,498.2,2.4739,0.65855,0.86508,264.01,11.532,1.47E-05,0.016285
19,0.37,6.8398,0.1462,444.01,498.11,2.4685,0.65883,0.86588,263.93,11.533,1.47E-05,0.01629
