Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.0082987,120.5,2640.5,3845.5,62.636,10.156,14.281,1301.7,-0.28744,8.79E-06,0.1819
19,0.02,0.016596,60.254,2640.5,3845.6,59.777,10.156,14.281,1301.8,-0.28749,8.79E-06,0.18191
19,0.03,0.024893,40.172,2640.5,3845.6,58.104,10.156,14.281,1301.9,-0.28754,8.79E-06,0.18193
19,0.04,0.033189,30.13,2640.5,3845.7,56.918,10.156,14.282,1302,-0.28758,8.79E-06,0.18194
19,0.05,0.041484,24.106,2640.4,3845.7,55.997,10.157,14.282,1302.1,-0.28763,8.79E-06,0.18195
19,0.06,0.049778,20.089,2640.4,3845.8,55.245,10.157,14.282,1302.1,-0.28768,8.79E-06,0.18196
19,0.07,0.05807,17.22,2640.4,3845.8,54.609,10.157,14.283,1302.2,-0.28772,8.79E-06,0.18197
19,0.08,0.066362,15.069,2640.3,3845.8,54.059,10.157,14.283,1302.3,-0.28777,8.79E-06,0.18198
19,0.09,0.074653,13.395,2640.3,3845.9,53.573,10.157,14.283,1302.4,-0.28782,8.79E-06,0.18199
19,0.1,0.082943,12.056,2640.3,3845.9,53.138,10.157,14.283,1302.5,-0.28786,8.79E-06,0.182
19,0.11,0.091232,10.961,2640.2,3846,52.745,10.157,14.284,1302.6,-0.28791,8.79E-06,0.18201
19,0.12,0.09952,10.048,2640.2,3846,52.386,10.157,14.284,1302.7,-0.28796,8.79E-06,0.18202
19,0.13,0.10781,9.2759,2640.2,3846,52.056,10.157,14.284,1302.7,-0.288,8.79E-06,0.18203
19,0.14,0.11609,8.6138,2640.1,3846.1,51.75,10.157,14.285,1302.8,-0.28805,8.79E-06,0.18204
19,0.15,0.12438,8.04,2640.1,3846.1,51.465,10.157,14.285,1302.9,-0.2881,8.79E-06,0.18205
19,0.16,0.13266,7.538,2640.1,3846.2,51.199,10.157,14.285,1303,-0.28814,8.79E-06,0.18206
19,0.17,0.14094,7.095,2640.1,3846.2,50.949,10.158,14.285,1303.1,-0.28819,8.79E-06,0.18207
19,0.18,0.14923,6.7012,2640,3846.2,50.713,10.158,14.286,1303.2,-0.28824,8.79E-06,0.18208
19,0.19,0.15751,6.3489,2640,3846.3,50.49,10.158,14.286,1303.3,-0.28829,8.79E-06,0.18208
19,0.2,0.16579,6.0318,2640,3846.3,50.278,10.158,14.286,1303.3,-0.28833,8.79E-06,0.18209
19,0.21,0.17407,5.7449,2639.9,3846.4,50.077,10.158,14.287,1303.4,-0.28838,8.80E-06,0.1821
19,0.22,0.18234,5.4841,2639.9,3846.4,49.885,10.158,14.287,1303.5,-0.28843,8.80E-06,0.18211
19,0.23,0.19062,5.246,2639.9,3846.5,49.702,10.158,14.287,1303.6,-0.28848,8.80E-06,0.18212
19,0.24,0.1989,5.0277,2639.8,3846.5,49.526,10.158,14.288,1303.7,-0.28852,8.80E-06,0.18213
19,0.25,0.20717,4.8269,2639.8,3846.5,49.357,10.158,14.288,1303.8,-0.28857,8.80E-06,0.18214
19,0.26,0.21545,4.6415,2639.8,3846.6,49.196,10.158,14.288,1303.9,-0.28862,8.80E-06,0.18215
19,0.27,0.22372,4.4699,2639.8,3846.6,49.04,10.158,14.288,1303.9,-0.28867,8.80E-06,0.18216
19,0.28,0.23199,4.3105,2639.7,3846.7,48.89,10.159,14.289,1304,-0.28871,8.80E-06,0.18216
19,0.29,0.24026,4.1621,2639.7,3846.7,48.745,10.159,14.289,1304.1,-0.28876,8.80E-06,0.18217
19,0.3,0.24853,4.0236,2639.7,3846.7,48.605,10.159,14.289,1304.2,-0.28881,8.80E-06,0.18218
19,0.31,0.2568,3.894,2639.6,3846.8,48.47,10.159,14.29,1304.3,-0.28886,8.80E-06,0.18219
19,0.32,0.26507,3.7726,2639.6,3846.8,48.339,10.159,14.29,1304.4,-0.2889,8.80E-06,0.1822
19,0.33,0.27334,3.6585,2639.6,3846.9,48.212,10.159,14.29,1304.4,-0.28895,8.80E-06,0.18221
19,0.34,0.2816,3.5511,2639.5,3846.9,48.088,10.159,14.29,1304.5,-0.289,8.80E-06,0.18222
19,0.35,0.28987,3.4498,2639.5,3846.9,47.969,10.159,14.291,1304.6,-0.28905,8.80E-06,0.18223
19,0.36,0.29813,3.3542,2639.5,3847,47.852,10.159,14.291,1304.7,-0.2891,8.80E-06,0.18223
19,0.37,0.3064,3.2637,2639.4,3847,47.739,10.159,14.291,1304.8,-0.28914,8.80E-06,0.18224
19,0.38,0.31466,3.178,2639.4,3847.1,47.629,10.159,14.292,1304.9,-0.28919,8.80E-06,0.18225
19,0.39,0.32292,3.0967,2639.4,3847.1,47.522,10.159,14.292,1305,-0.28924,8.80E-06,0.18226
19,0.4,0.33118,3.0195,2639.4,3847.2,47.417,10.16,14.292,1305,-0.28929,8.80E-06,0.18227
19,0.41,0.33944,2.946,2639.3,3847.2,47.315,10.16,14.292,1305.1,-0.28934,8.80E-06,0.18228
19,0.42,0.3477,2.876,2639.3,3847.2,47.216,10.16,14.293,1305.2,-0.28939,8.80E-06,0.18229
19,0.43,0.35596,2.8093,2639.3,3847.3,47.119,10.16,14.293,1305.3,-0.28943,8.80E-06,0.18229
19,0.44,0.36421,2.7456,2639.2,3847.3,47.024,10.16,14.293,1305.4,-0.28948,8.80E-06,0.1823
19,0.45,0.37247,2.6848,2639.2,3847.4,46.931,10.16,14.294,1305.5,-0.28953,8.80E-06,0.18231
19,0.46,0.38072,2.6266,2639.2,3847.4,46.84,10.16,14.294,1305.6,-0.28958,8.80E-06,0.18232
19,0.47,0.38898,2.5708,2639.1,3847.4,46.752,10.16,14.294,1305.6,-0.28963,8.80E-06,0.18233
19,0.48,0.39723,2.5174,2639.1,3847.5,46.665,10.16,14.294,1305.7,-0.28968,8.80E-06,0.18234
19,0.49,0.40548,2.4662,2639.1,3847.5,46.579,10.16,14.295,1305.8,-0.28973,8.80E-06,0.18235
