Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.066057,15.138,746.14,897.53,7.8317,1.6941,2.2129,444.64,4.5691,1.10E-05,0.033404
19,0.02,0.13214,7.5678,746.07,897.43,7.4722,1.6942,2.2135,444.6,4.5686,1.10E-05,0.033412
19,0.03,0.19824,5.0443,746,897.32,7.2618,1.6943,2.2141,444.57,4.5681,1.10E-05,0.03342
19,0.04,0.26438,3.7825,745.92,897.22,7.1125,1.6944,2.2147,444.53,4.5676,1.10E-05,0.033427
19,0.05,0.33053,3.0254,745.85,897.12,6.9966,1.6945,2.2153,444.5,4.567,1.10E-05,0.033434
19,0.06,0.39671,2.5207,745.78,897.02,6.9018,1.6946,2.2159,444.46,4.5665,1.10E-05,0.033441
19,0.07,0.46292,2.1602,745.7,896.92,6.8217,1.6948,2.2165,444.42,4.566,1.10E-05,0.033448
19,0.08,0.52915,1.8898,745.63,896.82,6.7522,1.6949,2.2171,444.39,4.5655,1.10E-05,0.033455
19,0.09,0.5954,1.6795,745.56,896.72,6.6909,1.695,2.2177,444.35,4.565,1.10E-05,0.033462
19,0.1,0.66168,1.5113,745.49,896.62,6.6361,1.6951,2.2184,444.32,4.5644,1.10E-05,0.033469
19,0.11,0.72798,1.3737,745.41,896.51,6.5864,1.6952,2.219,444.28,4.5639,1.10E-05,0.033476
19,0.12,0.79431,1.259,745.34,896.41,6.5411,1.6953,2.2196,444.25,4.5634,1.10E-05,0.033483
19,0.13,0.86066,1.1619,745.27,896.31,6.4994,1.6954,2.2202,444.21,4.5629,1.10E-05,0.03349
19,0.14,0.92704,1.0787,745.19,896.21,6.4607,1.6955,2.2208,444.18,4.5623,1.10E-05,0.033496
19,0.15,0.99344,1.0066,745.12,896.11,6.4247,1.6956,2.2214,444.14,4.5618,1.10E-05,0.033503
19,0.16,1.0599,0.94351,745.05,896.01,6.391,1.6957,2.222,444.1,4.5613,1.10E-05,0.03351
19,0.17,1.1263,0.88784,744.97,895.91,6.3593,1.6958,2.2226,444.07,4.5608,1.10E-05,0.033517
19,0.18,1.1928,0.83836,744.9,895.81,6.3295,1.6959,2.2233,444.03,4.5602,1.10E-05,0.033524
19,0.19,1.2593,0.79409,744.83,895.7,6.3012,1.696,2.2239,444,4.5597,1.10E-05,0.03353
19,0.2,1.3258,0.75425,744.75,895.6,6.2743,1.6961,2.2245,443.96,4.5592,1.10E-05,0.033537
19,0.21,1.3924,0.7182,744.68,895.5,6.2488,1.6962,2.2251,443.93,4.5586,1.10E-05,0.033544
19,0.22,1.459,0.68542,744.61,895.4,6.2244,1.6964,2.2257,443.89,4.5581,1.10E-05,0.033551
19,0.23,1.5256,0.6555,744.53,895.3,6.2012,1.6965,2.2263,443.86,4.5576,1.10E-05,0.033558
19,0.24,1.5922,0.62807,744.46,895.2,6.1789,1.6966,2.227,443.82,4.557,1.10E-05,0.033564
19,0.25,1.6588,0.60283,744.39,895.1,6.1574,1.6967,2.2276,443.79,4.5565,1.10E-05,0.033571
19,0.26,1.7255,0.57954,744.31,894.99,6.1369,1.6968,2.2282,443.75,4.556,1.10E-05,0.033578
19,0.27,1.7922,0.55797,744.24,894.89,6.1171,1.6969,2.2288,443.72,4.5554,1.10E-05,0.033585
19,0.28,1.8589,0.53794,744.17,894.79,6.098,1.697,2.2294,443.68,4.5549,1.10E-05,0.033591
19,0.29,1.9257,0.5193,744.09,894.69,6.0795,1.6971,2.23,443.65,4.5544,1.10E-05,0.033598
19,0.3,1.9925,0.50189,744.02,894.59,6.0617,1.6972,2.2307,443.61,4.5538,1.10E-05,0.033605
19,0.31,2.0593,0.48561,743.95,894.49,6.0444,1.6973,2.2313,443.58,4.5533,1.10E-05,0.033612
19,0.32,2.1261,0.47035,743.87,894.38,6.0277,1.6974,2.2319,443.54,4.5527,1.10E-05,0.033618
19,0.33,2.1929,0.45601,743.8,894.28,6.0115,1.6975,2.2325,443.51,4.5522,1.10E-05,0.033625
19,0.34,2.2598,0.44252,743.73,894.18,5.9958,1.6976,2.2332,443.47,4.5517,1.10E-05,0.033632
19,0.35,2.3267,0.42979,743.65,894.08,5.9805,1.6977,2.2338,443.44,4.5511,1.10E-05,0.033639
19,0.36,2.3936,0.41778,743.58,893.98,5.9657,1.6978,2.2344,443.4,4.5506,1.10E-05,0.033645
19,0.37,2.4606,0.40641,743.51,893.88,5.9512,1.698,2.235,443.37,4.55,1.10E-05,0.033652
19,0.38,2.5276,0.39564,743.43,893.77,5.9372,1.6981,2.2357,443.33,4.5495,1.10E-05,0.033659
19,0.39,2.5946,0.38542,743.36,893.67,5.9235,1.6982,2.2363,443.3,4.5489,1.10E-05,0.033666
19,0.4,2.6616,0.37572,743.28,893.57,5.9101,1.6983,2.2369,443.26,4.5484,1.10E-05,0.033673
19,0.41,2.7286,0.36648,743.21,893.47,5.897,1.6984,2.2375,443.23,4.5478,1.10E-05,0.033679
19,0.42,2.7957,0.35769,743.14,893.37,5.8843,1.6985,2.2382,443.19,4.5473,1.10E-05,0.033686
19,0.43,2.8628,0.34931,743.06,893.27,5.8718,1.6986,2.2388,443.16,4.5467,1.10E-05,0.033693
19,0.44,2.9299,0.34131,742.99,893.16,5.8597,1.6987,2.2394,443.13,4.5462,1.10E-05,0.0337
19,0.45,2.9971,0.33366,742.92,893.06,5.8478,1.6988,2.24,443.09,4.5456,1.10E-05,0.033707
19,0.46,3.0643,0.32634,742.84,892.96,5.8361,1.6989,2.2407,443.06,4.5451,1.10E-05,0.033713
19,0.47,3.1315,0.31934,742.77,892.86,5.8247,1.699,2.2413,443.02,4.5445,1.10E-05,0.03372
19,0.48,3.1987,0.31263,742.69,892.76,5.8136,1.6991,2.2419,442.99,4.544,1.10E-05,0.033727
19,0.49,3.2659,0.30619,742.62,892.65,5.8026,1.6992,2.2426,442.95,4.5434,1.10E-05,0.033734
19,0.5,3.3332,0.30001,742.55,892.55,5.7919,1.6993,2.2432,442.92,4.5428,1.10E-05,0.033741
19,0.51,3.4005,0.29407,742.47,892.45,5.7814,1.6995,2.2438,442.88,4.5423,1.10E-05,0.033748
19,0.52,3.4678,0.28836,742.4,892.35,5.7711,1.6996,2.2445,442.85,4.5417,1.10E-05,0.033754
19,0.53,3.5352,0.28287,742.33,892.25,5.761,1.6997,2.2451,442.82,4.5412,1.10E-05,0.033761
19,0.54,3.6026,0.27758,742.25,892.14,5.751,1.6998,2.2457,442.78,4.5406,1.10E-05,0.033768
19,0.55,3.67,0.27248,742.18,892.04,5.7413,1.6999,2.2464,442.75,4.5401,1.11E-05,0.033775
19,0.56,3.7374,0.26757,742.1,891.94,5.7317,1.7,2.247,442.71,4.5395,1.11E-05,0.033782
19,0.57,3.8048,0.26282,742.03,891.84,5.7222,1.7001,2.2476,442.68,4.5389,1.11E-05,0.033789
19,0.58,3.8723,0.25824,741.96,891.74,5.713,1.7002,2.2483,442.65,4.5384,1.11E-05,0.033796
19,0.59,3.9398,0.25382,741.88,891.63,5.7039,1.7003,2.2489,442.61,4.5378,1.11E-05,0.033802
19,0.6,4.0073,0.24954,741.81,891.53,5.6949,1.7004,2.2495,442.58,4.5372,1.11E-05,0.033809
19,0.61,4.0749,0.24541,741.73,891.43,5.6861,1.7005,2.2502,442.54,4.5367,1.11E-05,0.033816
19,0.62,4.1425,0.2414,741.66,891.33,5.6774,1.7006,2.2508,442.51,4.5361,1.11E-05,0.033823
19,0.63,4.2101,0.23753,741.59,891.23,5.6688,1.7007,2.2514,442.48,4.5355,1.11E-05,0.03383
19,0.64,4.2777,0.23377,741.51,891.12,5.6604,1.7009,2.2521,442.44,4.535,1.11E-05,0.033837
19,0.65,4.3453,0.23013,741.44,891.02,5.6521,1.701,2.2527,442.41,4.5344,1.11E-05,0.033844
