Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.11533,8.6709,216.52,303.23,7.5021,0.74282,1.0398,348.38,2.2524,1.75E-05,0.025303
19,0.02,0.23066,4.3353,216.5,303.21,7.2963,0.74284,1.0399,348.39,2.2516,1.75E-05,0.025306
19,0.03,0.346,2.8902,216.48,303.19,7.1759,0.74287,1.0401,348.41,2.2509,1.75E-05,0.025309
19,0.04,0.46135,2.1676,216.46,303.16,7.0904,0.7429,1.0403,348.42,2.2501,1.75E-05,0.025312
19,0.05,0.5767,1.734,216.44,303.14,7.0241,0.74292,1.0405,348.44,2.2493,1.75E-05,0.025315
19,0.06,0.69206,1.445,216.42,303.12,6.9699,0.74295,1.0406,348.45,2.2486,1.75E-05,0.025318
19,0.07,0.80742,1.2385,216.4,303.09,6.9241,0.74298,1.0408,348.46,2.2478,1.75E-05,0.025321
19,0.08,0.92279,1.0837,216.37,303.07,6.8844,0.743,1.041,348.48,2.247,1.75E-05,0.025324
19,0.09,1.0382,0.96324,216.35,303.05,6.8494,0.74303,1.0411,348.49,2.2463,1.75E-05,0.025327
19,0.1,1.1535,0.8669,216.33,303.02,6.818,0.74306,1.0413,348.51,2.2455,1.75E-05,0.025331
19,0.11,1.2689,0.78807,216.31,303,6.7897,0.74308,1.0415,348.52,2.2447,1.75E-05,0.025334
19,0.12,1.3843,0.72238,216.29,302.98,6.7638,0.74311,1.0417,348.53,2.244,1.75E-05,0.025337
19,0.13,1.4997,0.66679,216.27,302.95,6.74,0.74314,1.0418,348.55,2.2432,1.75E-05,0.02534
19,0.14,1.6151,0.61915,216.25,302.93,6.7179,0.74316,1.042,348.56,2.2424,1.75E-05,0.025343
19,0.15,1.7305,0.57786,216.23,302.91,6.6973,0.74319,1.0422,348.58,2.2416,1.75E-05,0.025346
19,0.16,1.8459,0.54173,216.2,302.88,6.6781,0.74322,1.0423,348.59,2.2409,1.75E-05,0.02535
19,0.17,1.9614,0.50985,216.18,302.86,6.66,0.74324,1.0425,348.61,2.2401,1.75E-05,0.025353
19,0.18,2.0768,0.48152,216.16,302.84,6.643,0.74327,1.0427,348.62,2.2393,1.75E-05,0.025356
19,0.19,2.1922,0.45616,216.14,302.81,6.6269,0.74329,1.0429,348.63,2.2386,1.75E-05,0.025359
19,0.2,2.3076,0.43334,216.12,302.79,6.6116,0.74332,1.043,348.65,2.2378,1.76E-05,0.025363
19,0.21,2.4231,0.4127,216.1,302.77,6.597,0.74335,1.0432,348.66,2.237,1.76E-05,0.025366
