Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.01,0.13174,7.5905,189.82,265.73,6.9908,0.65734,0.91731,325.45,2.7977,2.01E-05,0.026004
19,0.02,0.26351,3.795,189.8,265.7,6.8106,0.65737,0.91748,325.45,2.7972,2.01E-05,0.026006
19,0.03,0.39529,2.5298,189.78,265.68,6.7052,0.65739,0.91764,325.45,2.7967,2.01E-05,0.026008
19,0.04,0.52709,1.8972,189.76,265.65,6.6304,0.65742,0.91781,325.45,2.7962,2.01E-05,0.026011
19,0.05,0.65891,1.5177,189.74,265.63,6.5723,0.65745,0.91797,325.45,2.7957,2.01E-05,0.026013
19,0.06,0.79074,1.2646,189.72,265.6,6.5249,0.65747,0.91814,325.45,2.7952,2.01E-05,0.026015
19,0.07,0.9226,1.0839,189.7,265.58,6.4848,0.6575,0.91831,325.45,2.7946,2.01E-05,0.026017
19,0.08,1.0545,0.94834,189.68,265.55,6.45,0.65752,0.91847,325.45,2.7941,2.01E-05,0.02602
19,0.09,1.1864,0.84291,189.66,265.52,6.4193,0.65755,0.91864,325.45,2.7936,2.01E-05,0.026022
19,0.1,1.3183,0.75857,189.64,265.5,6.3919,0.65758,0.9188,325.45,2.7931,2.01E-05,0.026024
19,0.11,1.4502,0.68956,189.62,265.47,6.3671,0.6576,0.91897,325.45,2.7926,2.01E-05,0.026026
19,0.12,1.5822,0.63205,189.6,265.45,6.3444,0.65763,0.91913,325.45,2.792,2.01E-05,0.026029
19,0.13,1.7141,0.58339,189.58,265.42,6.3235,0.65765,0.9193,325.45,2.7915,2.01E-05,0.026031
19,0.14,1.8461,0.54168,189.56,265.4,6.3042,0.65768,0.91946,325.45,2.791,2.01E-05,0.026033
19,0.15,1.9781,0.50553,189.54,265.37,6.2862,0.65771,0.91963,325.45,2.7905,2.01E-05,0.026035
19,0.16,2.1101,0.4739,189.52,265.34,6.2694,0.65773,0.9198,325.45,2.79,2.01E-05,0.026038
19,0.17,2.2422,0.446,189.5,265.32,6.2535,0.65776,0.91996,325.45,2.7894,2.01E-05,0.02604
19,0.18,2.3742,0.42119,189.48,265.29,6.2386,0.65778,0.92013,325.45,2.7889,2.01E-05,0.026042
19,0.19,2.5063,0.39899,189.46,265.27,6.2245,0.65781,0.92029,325.45,2.7884,2.01E-05,0.026045
